id,spp,plot,subplot,gm.trt,tg,vpdg,ig,imaxg,z,d13c,total_c,d15n,total_n,sample_weight_mg,nmass,cmass,leaf_cn,leaf_area_cm2,dry_biomass_g,sla_cm2g,lma_gm2,chi,beta
5664,Mai,6,9,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.51,882.75,-1.3,46.04,2.139,0.021524954,0.412694874,19.17285769,,,,#DIV/0!,0.87942045,1.118673332
5714,Tri,6,8,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-32.27,1053.03,-2.21,69.42,2.49,0.027880703,0.422903625,15.16832697,,,,#DIV/0!,0.915013686,2.439493403
5722,Tri,6,6,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.87,871.89,-1.22,43.01,2.158,0.019929023,0.404024872,20.27318972,,,,#DIV/0!,0.896273438,1.570711161
5742,Tri,6,3,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.6,1100.13,-1.41,73.92,2.609,0.028332431,0.42166637,14.88281651,,,,#DIV/0!,0.883632522,1.212753535
4871,Mai,7,19,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-32.57,890,-1.89,43.46,2.184,0.01989765,0.407509208,20.4802677,,,,#DIV/0!,0.929079042,3.612477623
5783,Tri,6,20,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.22,1027.67,-1.76,41.1,2.385,0.017230977,0.430888812,25.00663903,,,,#DIV/0!,0.86585354,0.875937487
5852,Tri,6,9,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.84,861.02,-2.7,60.09,2.098,0.028642995,0.410398958,14.32807432,,,,#DIV/0!,0.894868544,1.524182892
5865,Tri,6,2,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.49,1212.44,-0.66,72.46,3.014,0.024040476,0.402268433,16.73296451,,,,#DIV/0!,0.87848454,1.099144656
5904,Tri,5,9,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.93,806.67,0.4,48.96,1.967,0.02489299,0.410103563,16.47466096,,,,#DIV/0!,0.899083488,1.669910868
2666,Mai,7,20,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-32.26,1201.57,-1.09,48.85,2.842,0.017189339,0.422789724,24.59604319,,,,#DIV/0!,0.914544991,2.410315811
5040,Tri,4,20,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-32.23,781.31,-1.48,46.04,1.966,0.023419062,0.397412766,16.9696278,,,,#DIV/0!,0.913138964,2.325689554
6462,Mai,6,36,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.1,980.72,0.64,43.79,2.355,0.018592877,0.4164396,22.39780315,,,,#DIV/0!,0.860242022,0.796493452
6483,Mai,6,19,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-33.26,955.21,-0.07,50.2,2.315,0.021685101,0.412618608,19.02774635,,,,#DIV/0!,0.96146249,13.10931119
6495,Mai,6,25,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-30.97,900.87,-1.88,37.27,2.169,0.017184865,0.415338299,24.1688424,,,,#DIV/0!,0.854164446,0.721102432
5077,Mai,7,20,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-32.61,1230.55,-0.77,45.93,3.061,0.015004726,0.402009635,26.7922006,,,,#DIV/0!,0.930955082,3.826987224
6558,Tri,3,22,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.18,1129.11,-0.81,61.44,2.818,0.021803375,0.400678018,18.3768804,,,,#DIV/0!,0.86398288,0.848300412
2689,Mai,4,21,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.84,984.2,-1.31,21.31,2.469,0.008631791,0.398620969,46.18056244,,,,#DIV/0!,0.894868544,1.524182892
6879,Tri,6,36,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.46,1103.75,-2.39,69.54,2.652,0.02621997,0.416195492,15.87322534,,,,#DIV/0!,0.877080748,1.070723354
6881,Tri,5,10,ambient,19.14343434,0.547825126,64.08832386,281.8667424,280,-30.7,803.05,-0.61,45.82,1.962,0.023352221,0.409302151,17.52733277,,,,#DIV/0!,0.841546997,0.592766254
6887,Tri,5,8,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.4,1114.62,-1.26,68.86,2.67,0.025790602,0.41746034,16.18652971,,,,#DIV/0!,0.874273424,1.016844928
5074,Mai,4,25,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-33.1,952.14,-0.1,34.01,2.293,0.014832752,0.415238538,27.99470661,,,,#DIV/0!,0.953949169,9.03660401
7147,Tri,5,9,weeded,19.14343434,0.547825126,64.08832386,281.8667424,280,-31.18,962.46,-0.14,59.08,2.316,0.02551007,0.41556902,16.29039127,,,,#DIV/0!,0.86398288,0.848300412
